[2018-06-27 23:07:58,670] [train] [INFO] epoch=0.00 step=100, 2.0602 examples/sec lr=0.000100, loss=209.962, loss_ll=41.7882, loss_ll_paf=69.8435, loss_ll_heat=13.733, q=1000
[2018-06-28 01:22:23,676] [train] [INFO] epoch=0.00 step=3200, 5.7908 examples/sec lr=0.000100, loss=80.7354, loss_ll=14.7783, loss_ll_paf=25.2184, loss_ll_heat=4.33821, q=1000
[2018-06-28 01:26:40,832] [train] [INFO] epoch=0.00 step=3300, 5.8030 examples/sec lr=0.000100, loss=83.3618, loss_ll=14.7237, loss_ll_paf=24.5681, loss_ll_heat=4.87924, q=1000
[2018-06-28 01:30:55,331] [train] [INFO] epoch=0.00 step=3400, 5.8161 examples/sec lr=0.000100, loss=96.0385, loss_ll=17.9444, loss_ll_paf=30.0548, loss_ll_heat=5.83392, q=1000
[2018-06-28 01:35:08,662] [train] [INFO] epoch=0.00 step=3500, 5.8293 examples/sec lr=0.000100, loss=85.2062, loss_ll=15.2583, loss_ll_paf=25.353, loss_ll_heat=5.16368, q=1000
[2018-06-28 01:39:21,576] [train] [INFO] epoch=0.00 step=3600, 5.8421 examples/sec lr=0.000100, loss=78.0221, loss_ll=14.5192, loss_ll_paf=23.5458, loss_ll_heat=5.4926, q=1000
[2018-06-28 01:43:43,848] [train] [INFO] epoch=0.00 step=3700, 5.8488 examples/sec lr=0.000100, loss=114.182, loss_ll=20.7349, loss_ll_paf=37.253, loss_ll_heat=4.21676, q=1000
[2018-06-28 01:48:02,266] [train] [INFO] epoch=0.00 step=3800, 5.8573 examples/sec lr=0.000100, loss=80.8103, loss_ll=13.1372, loss_ll_paf=22.8712, loss_ll_heat=3.40315, q=1000
[2018-06-28 01:52:26,128] [train] [INFO] epoch=0.00 step=3900, 5.8624 examples/sec lr=0.000100, loss=99.7094, loss_ll=18.6003, loss_ll_paf=32.2956, loss_ll_heat=4.90504, q=1000
[2018-06-28 01:56:47,793] [train] [INFO] epoch=0.00 step=4000, 5.8685 examples/sec lr=0.000100, loss=76.6889, loss_ll=13.6741, loss_ll_paf=22.9274, loss_ll_heat=4.42086, q=1000
[2018-06-28 02:01:26,792] [train] [INFO] epoch=0.00 step=4100, 5.8651 examples/sec lr=0.000100, loss=66.3894, loss_ll=11.8946, loss_ll_paf=19.6081, loss_ll_heat=4.18119, q=1000
[2018-06-28 02:05:42,190] [train] [INFO] epoch=0.00 step=4200, 5.8740 examples/sec lr=0.000100, loss=96.6553, loss_ll=17.9915, loss_ll_paf=31.2448, loss_ll_heat=4.7383, q=1000
[2018-06-28 02:09:57,658] [train] [INFO] epoch=0.00 step=4300, 5.8825 examples/sec lr=0.000100, loss=73.9111, loss_ll=12.6207, loss_ll_paf=20.4871, loss_ll_heat=4.75435, q=1000
[2018-06-28 02:14:13,646] [train] [INFO] epoch=0.00 step=4400, 5.8904 examples/sec lr=0.000100, loss=85.2651, loss_ll=14.8476, loss_ll_paf=24.8276, loss_ll_heat=4.86756, q=1000
[2018-06-28 02:18:32,168] [train] [INFO] epoch=0.00 step=4500, 5.8967 examples/sec lr=0.000100, loss=82.7586, loss_ll=13.9422, loss_ll_paf=23.9201, loss_ll_heat=3.96437, q=1000
[2018-06-28 02:22:42,325] [train] [INFO] epoch=0.00 step=4600, 5.9068 examples/sec lr=0.000100, loss=107.041, loss_ll=20.4994, loss_ll_paf=34.5951, loss_ll_heat=6.40364, q=1000
[2018-06-28 02:26:55,339] [train] [INFO] epoch=0.00 step=4700, 5.9151 examples/sec lr=0.000100, loss=73.0006, loss_ll=12.9557, loss_ll_paf=21.4268, loss_ll_heat=4.48461, q=1000
[2018-06-28 02:31:09,211] [train] [INFO] epoch=0.00 step=4800, 5.9226 examples/sec lr=0.000100, loss=82.4664, loss_ll=14.8308, loss_ll_paf=25.0952, loss_ll_heat=4.56631, q=1000
[2018-06-28 02:35:21,276] [train] [INFO] epoch=0.00 step=4900, 5.9307 examples/sec lr=0.000100, loss=111.661, loss_ll=20.0782, loss_ll_paf=34.6278, loss_ll_heat=5.52859, q=1000
[2018-06-28 02:39:39,816] [train] [INFO] epoch=0.00 step=5000, 5.9357 examples/sec lr=0.000100, loss=76.0649, loss_ll=13.6064, loss_ll_paf=22.5388, loss_ll_heat=4.67393, q=1000
[2018-06-28 02:44:23,461] [train] [INFO] epoch=0.00 step=5100, 5.9296 examples/sec lr=0.000100, loss=92.5585, loss_ll=15.5455, loss_ll_paf=26.5465, loss_ll_heat=4.54448, q=1000
[2018-06-28 02:48:36,426] [train] [INFO] epoch=0.00 step=5200, 5.9368 examples/sec lr=0.000100, loss=73.3451, loss_ll=12.8883, loss_ll_paf=21.1054, loss_ll_heat=4.67123, q=1000
[2018-06-28 02:52:57,046] [train] [INFO] epoch=0.00 step=5300, 5.9405 examples/sec lr=0.000100, loss=95.6494, loss_ll=17.7998, loss_ll_paf=30.8244, loss_ll_heat=4.77509, q=1000
[2018-06-28 02:57:11,362] [train] [INFO] epoch=0.00 step=5400, 5.9466 examples/sec lr=0.000100, loss=85.929, loss_ll=15.6232, loss_ll_paf=26.8202, loss_ll_heat=4.4262, q=1000
[2018-06-28 03:01:32,849] [train] [INFO] epoch=0.00 step=5500, 5.9496 examples/sec lr=0.000100, loss=88.0899, loss_ll=15.9801, loss_ll_paf=26.188, loss_ll_heat=5.77227, q=1000
[2018-06-28 03:05:51,055] [train] [INFO] epoch=0.00 step=5600, 5.9539 examples/sec lr=0.000100, loss=88.3844, loss_ll=15.8648, loss_ll_paf=26.1741, loss_ll_heat=5.55558, q=1000
[2018-06-28 03:10:06,256] [train] [INFO] epoch=0.00 step=5700, 5.9591 examples/sec lr=0.000100, loss=68.8364, loss_ll=12.3703, loss_ll_paf=21.9259, loss_ll_heat=2.81472, q=1000
[2018-06-28 03:14:26,687] [train] [INFO] epoch=0.00 step=5800, 5.9622 examples/sec lr=0.000100, loss=80.6623, loss_ll=14.5254, loss_ll_paf=25.3037, loss_ll_heat=3.74713, q=1000
[2018-06-28 03:18:37,640] [train] [INFO] epoch=0.00 step=5900, 5.9688 examples/sec lr=0.000100, loss=96.8619, loss_ll=17.5365, loss_ll_paf=29.2886, loss_ll_heat=5.78444, q=1000
[2018-06-28 03:22:48,642] [train] [INFO] epoch=0.00 step=6000, 5.9751 examples/sec lr=0.000100, loss=69.0203, loss_ll=12.1132, loss_ll_paf=19.1852, loss_ll_heat=5.04115, q=1000
[2018-06-28 03:27:25,479] [train] [INFO] epoch=0.00 step=6100, 5.9718 examples/sec lr=0.000100, loss=96.7694, loss_ll=17.74, loss_ll_paf=30.7709, loss_ll_heat=4.70907, q=1000
[2018-06-28 03:31:42,375] [train] [INFO] epoch=0.00 step=6200, 5.9758 examples/sec lr=0.000100, loss=67.0961, loss_ll=11.6192, loss_ll_paf=19.3494, loss_ll_heat=3.88894, q=1000
[2018-06-28 03:35:53,621] [train] [INFO] epoch=0.00 step=6300, 5.9816 examples/sec lr=0.000100, loss=78.7103, loss_ll=14.8554, loss_ll_paf=25.5087, loss_ll_heat=4.20215, q=1000
[2018-06-28 03:40:07,175] [train] [INFO] epoch=0.00 step=6400, 5.9865 examples/sec lr=0.000100, loss=65.021, loss_ll=11.3815, loss_ll_paf=17.5264, loss_ll_heat=5.23658, q=1000
[2018-06-28 03:44:18,062] [train] [INFO] epoch=0.00 step=6500, 5.9922 examples/sec lr=0.000100, loss=86.6069, loss_ll=15.476, loss_ll_paf=25.5615, loss_ll_heat=5.39045, q=1000
[2018-06-28 03:48:34,892] [train] [INFO] epoch=0.00 step=6600, 5.9956 examples/sec lr=0.000100, loss=76.5424, loss_ll=14.171, loss_ll_paf=24.0724, loss_ll_heat=4.26964, q=1000
[2018-06-28 03:52:49,848] [train] [INFO] epoch=0.00 step=6700, 5.9996 examples/sec lr=0.000100, loss=66.2989, loss_ll=11.9862, loss_ll_paf=19.8124, loss_ll_heat=4.16, q=1000
[2018-06-28 03:57:04,482] [train] [INFO] epoch=0.00 step=6800, 6.0036 examples/sec lr=0.000100, loss=79.3171, loss_ll=13.9666, loss_ll_paf=24.398, loss_ll_heat=3.53529, q=1000
[2018-06-28 04:01:17,014] [train] [INFO] epoch=0.00 step=6900, 6.0082 examples/sec lr=0.000100, loss=78.3883, loss_ll=14.7635, loss_ll_paf=25.2937, loss_ll_heat=4.23328, q=1000
[2018-06-28 04:05:31,273] [train] [INFO] epoch=0.00 step=7000, 6.0121 examples/sec lr=0.000100, loss=59.1337, loss_ll=9.92535, loss_ll_paf=16.2656, loss_ll_heat=3.58507, q=1000
[2018-06-28 04:10:13,446] [train] [INFO] epoch=0.00 step=7100, 6.0070 examples/sec lr=0.000100, loss=72.9739, loss_ll=12.9779, loss_ll_paf=22.2609, loss_ll_heat=3.69495, q=1000
[2018-06-28 04:14:24,670] [train] [INFO] epoch=0.00 step=7200, 6.0117 examples/sec lr=0.000100, loss=97.305, loss_ll=18.5075, loss_ll_paf=30.8917, loss_ll_heat=6.12326, q=1000
[2018-06-28 04:18:38,884] [train] [INFO] epoch=0.00 step=7300, 6.0154 examples/sec lr=0.000100, loss=72.3405, loss_ll=12.6712, loss_ll_paf=21.4495, loss_ll_heat=3.89298, q=1000
[2018-06-28 04:22:51,581] [train] [INFO] epoch=0.00 step=7400, 6.0195 examples/sec lr=0.000100, loss=79.1489, loss_ll=13.9433, loss_ll_paf=24.0138, loss_ll_heat=3.87287, q=1000
[2018-06-28 04:27:05,485] [train] [INFO] epoch=0.00 step=7500, 6.0231 examples/sec lr=0.000100, loss=93.5041, loss_ll=17.4159, loss_ll_paf=30.8146, loss_ll_heat=4.01726, q=1000
[2018-06-28 04:31:20,430] [train] [INFO] epoch=0.00 step=7600, 6.0262 examples/sec lr=0.000100, loss=73.4868, loss_ll=12.544, loss_ll_paf=20.4209, loss_ll_heat=4.667, q=1000
[2018-06-28 04:35:33,369] [train] [INFO] epoch=1.00 step=7700, 6.0300 examples/sec lr=0.000100, loss=78.0917, loss_ll=13.085, loss_ll_paf=20.9599, loss_ll_heat=5.21012, q=1000
[2018-06-28 04:39:45,236] [train] [INFO] epoch=1.00 step=7800, 6.0339 examples/sec lr=0.000100, loss=84.9474, loss_ll=14.3706, loss_ll_paf=24.0842, loss_ll_heat=4.65689, q=1000
[2018-06-28 04:44:01,596] [train] [INFO] epoch=1.00 step=7900, 6.0364 examples/sec lr=0.000100, loss=74.7438, loss_ll=12.6596, loss_ll_paf=22.1439, loss_ll_heat=3.17534, q=1000
[2018-06-28 04:48:14,016] [train] [INFO] epoch=1.00 step=8000, 6.0400 examples/sec lr=0.000100, loss=76.7617, loss_ll=13.6481, loss_ll_paf=23.4987, loss_ll_heat=3.79755, q=1000
[2018-06-28 04:52:53,989] [train] [INFO] epoch=1.00 step=8100, 6.0358 examples/sec lr=0.000100, loss=70.7578, loss_ll=12.4099, loss_ll_paf=20.3122, loss_ll_heat=4.50771, q=1000
[2018-06-28 04:57:10,164] [train] [INFO] epoch=1.00 step=8200, 6.0383 examples/sec lr=0.000100, loss=69.3504, loss_ll=11.8069, loss_ll_paf=20.7442, loss_ll_heat=2.86955, q=1000
[2018-06-28 05:01:20,096] [train] [INFO] epoch=1.00 step=8300, 6.0424 examples/sec lr=0.000100, loss=60.4368, loss_ll=10.4306, loss_ll_paf=17.6395, loss_ll_heat=3.2218, q=1000
[2018-06-28 05:05:34,223] [train] [INFO] epoch=1.00 step=8400, 6.0453 examples/sec lr=0.000100, loss=68.8453, loss_ll=12.202, loss_ll_paf=20.0187, loss_ll_heat=4.3854, q=1000
[2018-06-28 05:09:47,854] [train] [INFO] epoch=1.00 step=8500, 6.0483 examples/sec lr=0.000100, loss=54.2501, loss_ll=8.86351, loss_ll_paf=13.6932, loss_ll_heat=4.03384, q=1000
[2018-06-28 05:13:57,634] [train] [INFO] epoch=1.00 step=8600, 6.0522 examples/sec lr=0.000100, loss=76.1427, loss_ll=13.5688, loss_ll_paf=22.7213, loss_ll_heat=4.41632, q=1000
[2018-06-28 05:18:11,729] [train] [INFO] epoch=1.00 step=8700, 6.0549 examples/sec lr=0.000100, loss=60.8956, loss_ll=10.2736, loss_ll_paf=17.0413, loss_ll_heat=3.50588, q=1000
[2018-06-28 05:22:21,598] [train] [INFO] epoch=1.00 step=8800, 6.0586 examples/sec lr=0.000100, loss=66.4234, loss_ll=11.8114, loss_ll_paf=20.1238, loss_ll_heat=3.49899, q=1000
[2018-06-28 05:26:29,597] [train] [INFO] epoch=1.00 step=8900, 6.0628 examples/sec lr=0.000100, loss=87.6218, loss_ll=16.1844, loss_ll_paf=28.3602, loss_ll_heat=4.00853, q=1000
[2018-06-28 05:30:42,488] [train] [INFO] epoch=1.00 step=9000, 6.0656 examples/sec lr=0.000100, loss=78.4552, loss_ll=14.1183, loss_ll_paf=24.5452, loss_ll_heat=3.69128, q=1000
[2018-06-28 05:35:24,149] [train] [INFO] epoch=1.00 step=9100, 6.0611 examples/sec lr=0.000100, loss=58.2939, loss_ll=10.7264, loss_ll_paf=17.669, loss_ll_heat=3.78379, q=1000
[2018-06-28 05:39:33,451] [train] [INFO] epoch=1.00 step=9200, 6.0647 examples/sec lr=0.000100, loss=70.1838, loss_ll=11.3989, loss_ll_paf=19.3185, loss_ll_heat=3.47938, q=1000
[2018-06-28 05:43:43,579] [train] [INFO] epoch=1.00 step=9300, 6.0681 examples/sec lr=0.000100, loss=70.27, loss_ll=13.3515, loss_ll_paf=22.8536, loss_ll_heat=3.84935, q=1000
[2018-06-28 05:47:54,341] [train] [INFO] epoch=1.00 step=9400, 6.0713 examples/sec lr=0.000100, loss=73.0737, loss_ll=12.7457, loss_ll_paf=20.8356, loss_ll_heat=4.6557, q=1000
[2018-06-28 05:52:10,288] [train] [INFO] epoch=1.00 step=9500, 6.0731 examples/sec lr=0.000100, loss=69.9246, loss_ll=12.6771, loss_ll_paf=21.1674, loss_ll_heat=4.18676, q=1000
[2018-06-28 05:56:21,432] [train] [INFO] epoch=1.00 step=9600, 6.0761 examples/sec lr=0.000100, loss=62.6511, loss_ll=11.6597, loss_ll_paf=18.7088, loss_ll_heat=4.61046, q=1000
[2018-06-28 06:00:31,492] [train] [INFO] epoch=1.00 step=9700, 6.0793 examples/sec lr=0.000100, loss=63.9223, loss_ll=11.6248, loss_ll_paf=19.0665, loss_ll_heat=4.18316, q=1000
[2018-06-28 06:04:45,859] [train] [INFO] epoch=1.00 step=9800, 6.0813 examples/sec lr=0.000100, loss=36.5774, loss_ll=6.39986, loss_ll_paf=9.85843, loss_ll_heat=2.94128, q=1000
[2018-06-28 06:09:02,198] [train] [INFO] epoch=1.00 step=9900, 6.0829 examples/sec lr=0.000100, loss=73.1559, loss_ll=13.0612, loss_ll_paf=22.9126, loss_ll_heat=3.20988, q=1000
[2018-06-28 06:13:15,957] [train] [INFO] epoch=1.00 step=10000, 6.0851 examples/sec lr=0.000100, loss=46.693, loss_ll=7.71962, loss_ll_paf=12.7362, loss_ll_heat=2.703, q=1000
[2018-06-28 06:17:56,546] [train] [INFO] epoch=1.00 step=10100, 6.0810 examples/sec lr=0.000100, loss=60.7023, loss_ll=10.5842, loss_ll_paf=18.1802, loss_ll_heat=2.98823, q=1000
[2018-06-28 06:22:08,198] [train] [INFO] epoch=1.00 step=10200, 6.0836 examples/sec lr=0.000100, loss=64.418, loss_ll=11.7833, loss_ll_paf=19.2743, loss_ll_heat=4.29233, q=1000
[2018-06-28 06:26:24,887] [train] [INFO] epoch=1.00 step=10300, 6.0850 examples/sec lr=0.000100, loss=80.0293, loss_ll=14.2329, loss_ll_paf=25.2679, loss_ll_heat=3.19786, q=1000
[2018-06-28 06:30:38,053] [train] [INFO] epoch=1.00 step=10400, 6.0872 examples/sec lr=0.000100, loss=49.1364, loss_ll=8.67869, loss_ll_paf=14.3172, loss_ll_heat=3.04021, q=1000
[2018-06-28 06:34:54,537] [train] [INFO] epoch=1.00 step=10500, 6.0886 examples/sec lr=0.000100, loss=79.6332, loss_ll=15.0459, loss_ll_paf=26.1784, loss_ll_heat=3.91337, q=1000
[2018-06-28 06:39:08,688] [train] [INFO] epoch=1.00 step=10600, 6.0905 examples/sec lr=0.000100, loss=77.6464, loss_ll=14.6253, loss_ll_paf=24.6659, loss_ll_heat=4.58471, q=1000
[2018-06-28 06:43:22,791] [train] [INFO] epoch=1.00 step=10700, 6.0924 examples/sec lr=0.000100, loss=64.1866, loss_ll=12.3262, loss_ll_paf=21.8408, loss_ll_heat=2.81167, q=1000
[2018-06-28 06:47:42,623] [train] [INFO] epoch=1.00 step=10800, 6.0930 examples/sec lr=0.000100, loss=92.2282, loss_ll=17.5215, loss_ll_paf=30.0078, loss_ll_heat=5.03513, q=1000
[2018-06-28 06:51:56,282] [train] [INFO] epoch=1.00 step=10900, 6.0949 examples/sec lr=0.000100, loss=59.797, loss_ll=10.5605, loss_ll_paf=18.283, loss_ll_heat=2.83804, q=1000
[2018-06-28 06:56:09,929] [train] [INFO] epoch=1.00 step=11000, 6.0967 examples/sec lr=0.000100, loss=84.356, loss_ll=15.2852, loss_ll_paf=25.692, loss_ll_heat=4.87836, q=1000
[2018-06-28 07:00:55,845] [train] [INFO] epoch=1.00 step=11100, 6.0918 examples/sec lr=0.000100, loss=65.4151, loss_ll=10.9464, loss_ll_paf=18.656, loss_ll_heat=3.23677, q=1000
[2018-06-28 07:05:12,162] [train] [INFO] epoch=1.00 step=11200, 6.0931 examples/sec lr=0.000100, loss=67.2384, loss_ll=12.1989, loss_ll_paf=21.3145, loss_ll_heat=3.08329, q=1000
[2018-06-28 07:09:26,002] [train] [INFO] epoch=1.00 step=11300, 6.0949 examples/sec lr=0.000100, loss=79.711, loss_ll=14.2527, loss_ll_paf=24.7566, loss_ll_heat=3.74881, q=1000
[2018-06-28 07:13:41,774] [train] [INFO] epoch=1.00 step=11400, 6.0963 examples/sec lr=0.000100, loss=51.4868, loss_ll=8.76262, loss_ll_paf=14.2583, loss_ll_heat=3.26698, q=1000
[2018-06-28 07:17:52,836] [train] [INFO] epoch=1.00 step=11500, 6.0986 examples/sec lr=0.000100, loss=67.0825, loss_ll=12.0991, loss_ll_paf=20.8933, loss_ll_heat=3.30492, q=1000
[2018-06-28 07:22:04,445] [train] [INFO] epoch=1.00 step=11600, 6.1008 examples/sec lr=0.000100, loss=58.0773, loss_ll=9.74143, loss_ll_paf=15.9578, loss_ll_heat=3.52502, q=1000
[2018-06-28 07:26:18,354] [train] [INFO] epoch=1.00 step=11700, 6.1024 examples/sec lr=0.000100, loss=109.879, loss_ll=20.225, loss_ll_paf=35.5649, loss_ll_heat=4.88507, q=1000
[2018-06-28 07:30:30,565] [train] [INFO] epoch=1.00 step=11800, 6.1044 examples/sec lr=0.000100, loss=69.2733, loss_ll=12.3177, loss_ll_paf=20.2096, loss_ll_heat=4.42582, q=1000
[2018-06-28 07:34:41,044] [train] [INFO] epoch=1.00 step=11900, 6.1067 examples/sec lr=0.000100, loss=48.4255, loss_ll=7.76042, loss_ll_paf=12.1975, loss_ll_heat=3.3233, q=1000
[2018-06-28 07:38:47,826] [train] [INFO] epoch=1.00 step=12000, 6.1096 examples/sec lr=0.000100, loss=42.6968, loss_ll=6.68684, loss_ll_paf=10.8958, loss_ll_heat=2.4779, q=1000
[2018-06-28 07:43:30,940] [train] [INFO] epoch=1.00 step=12100, 6.1055 examples/sec lr=0.000100, loss=53.9034, loss_ll=9.28884, loss_ll_paf=15.8548, loss_ll_heat=2.7229, q=1000
[2018-06-28 07:47:46,299] [train] [INFO] epoch=1.00 step=12200, 6.1068 examples/sec lr=0.000100, loss=82.7072, loss_ll=15.2957, loss_ll_paf=26.4123, loss_ll_heat=4.17911, q=1000
[2018-06-28 07:51:57,625] [train] [INFO] epoch=1.00 step=12300, 6.1088 examples/sec lr=0.000100, loss=49.3719, loss_ll=8.70906, loss_ll_paf=15.2728, loss_ll_heat=2.1453, q=1000
[2018-06-28 07:56:11,642] [train] [INFO] epoch=1.00 step=12400, 6.1103 examples/sec lr=0.000100, loss=56.4032, loss_ll=9.91238, loss_ll_paf=17.025, loss_ll_heat=2.79976, q=1000
[2018-06-28 08:00:29,283] [train] [INFO] epoch=1.00 step=12500, 6.1111 examples/sec lr=0.000100, loss=64.6657, loss_ll=10.5788, loss_ll_paf=18.9614, loss_ll_heat=2.19612, q=1000
[2018-06-28 08:04:41,904] [train] [INFO] epoch=1.00 step=12600, 6.1128 examples/sec lr=0.000100, loss=61.4558, loss_ll=10.9087, loss_ll_paf=18.4639, loss_ll_heat=3.35358, q=1000
[2018-06-28 08:08:55,525] [train] [INFO] epoch=1.00 step=12700, 6.1143 examples/sec lr=0.000100, loss=34.5972, loss_ll=5.89131, loss_ll_paf=9.52558, loss_ll_heat=2.25704, q=1000
[2018-06-28 08:13:11,188] [train] [INFO] epoch=1.00 step=12800, 6.1154 examples/sec lr=0.000100, loss=46.4482, loss_ll=8.61622, loss_ll_paf=14.3498, loss_ll_heat=2.88267, q=1000
[2018-06-28 08:17:24,743] [train] [INFO] epoch=1.00 step=12900, 6.1169 examples/sec lr=0.000100, loss=52.5242, loss_ll=8.88068, loss_ll_paf=15.0547, loss_ll_heat=2.70663, q=1000
